period,period_end,entity,statement,section_group,line_label,row_type,statement_line_code,amount_client_basis,amount_presentation,source_tab,source_row,source_file
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,349716.68,349716.68,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,90238.61,90238.61,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,122317.68,122317.68,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,3721142.32,3721142.32,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,0.0,0.0,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,1558501.64,1558501.64,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,235671.1,235671.1,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,0.0,0.0,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,168166.75,168166.75,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,240965.27,240965.27,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,0.0,0.0,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,0.0,0.0,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Co.Contrib-Life Assurance,detail,personnel_costs,0.0,0.0,SCI Detailed,24,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,454230.67,454230.67,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,71850.0,71850.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,0.0,0.0,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Temporary Staff-General,detail,personnel_costs,490468.94,490468.94,SCI Detailed,25,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,258993.93,258993.93,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,187318.08,187318.08,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,319828.33,319828.33,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Welfare-General,detail,personnel_costs,0.0,0.0,SCI Detailed,26,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,-38138251.68,-38138251.68,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,11193788.61,11193788.61,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,41881276.16,41881276.16,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,113390.64,113390.64,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,0.0,0.0,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,42427.28,42427.28,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,865117.13,865117.13,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,0.0,0.0,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,6308.74,6308.74,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Other Staff Costs,detail,personnel_costs,2494505.35,2494505.35,SCI Detailed,27,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Other Staff Benefits,detail,personnel_costs,0.0,0.0,SCI Detailed,28,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Other Staff Benefits,detail,personnel_costs,0.0,0.0,SCI Detailed,28,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Other Staff Benefits,detail,personnel_costs,0.0,0.0,SCI Detailed,28,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Other Staff Benefits,detail,personnel_costs,0.0,0.0,SCI Detailed,28,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Other Staff Benefits,detail,personnel_costs,0.0,0.0,SCI Detailed,28,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Other Staff Benefits,detail,personnel_costs,0.0,0.0,SCI Detailed,28,April 2026 Consolidated Accounts.xlsx
