period,entity,statement,statement_line_code,line_label,category_l1,line_order,client_basis_kes,client_presentation_kes
2026-02,RWANDA,SFP,investment_unquoted_equity,Investment in unquoted equity securities,ASSETS,280,0.0,0.0
2026-02,RWANDA,SFP,net_profit,Net Profit (derived),EQUITY AND LIABILITIES,460,343042.52,-343042.52
2026-02,RWANDA,SFP,non_controlling_interests,Non-controlling interests,EQUITY AND LIABILITIES,470,0.0,-0.0
2026-02,RWANDA,SFP,office_cash,Cash - Office Cash,ASSETS,360,23564319.86,23564319.86
2026-02,RWANDA,SFP,other_receivables,Other Receivables,ASSETS,340,2979231.97,2979231.97
2026-02,RWANDA,SFP,placements,Cash - Placements,ASSETS,390,0.0,0.0
2026-02,RWANDA,SFP,ppe,"Property, Plant and Equipment",ASSETS,240,9292884.56,9292884.56
2026-02,RWANDA,SFP,premium_payable,Premium payable,EQUITY AND LIABILITIES,500,0.0,-0.0
2026-02,RWANDA,SFP,premium_receivables,Premium Receivables,ASSETS,330,0.0,0.0
2026-02,RWANDA,SFP,proposed_dividend,Proposed dividend,EQUITY AND LIABILITIES,440,0.0,-0.0
2026-02,RWANDA,SFP,retained_earnings,Retained earnings,EQUITY AND LIABILITIES,450,-1801609.03,1801609.03
2026-02,RWANDA,SFP,share_capital,Share capital,EQUITY AND LIABILITIES,420,-51307445.47,51307445.47
2026-02,RWANDA,SFP,tax_recoverable,Tax recoverable,ASSETS,400,-1004378.47,-1004378.47
2026-02,RWANDA,SFP,trade_and_other_payables,Trade and other payables,EQUITY AND LIABILITIES,480,-4047246.05,4047246.05
2026-02,RWANDA,SFP,trade_receivables,Trade Receivables (Debtors),ASSETS,320,6873301.75,6873301.75
2026-02,RWANDA,SFP,translation_reserve,Translation reserve,EQUITY AND LIABILITIES,430,-608.77,608.77
2026-02,ZAAC,SCI,actuarial_fees,Actuarial Fees,INCOME,10,-68449055.62,68449055.62
2026-02,ZAAC,SCI,advertising_pr,Advertising & PR,EXPENSES,150,2723347.14,2723347.14
2026-02,ZAAC,SCI,communications,Communications,EXPENSES,120,448110.24,448110.24
2026-02,ZAAC,SCI,depreciation,Depreciation,EXPENSES,180,6831361.25,6831361.25
2026-02,ZAAC,SCI,entertainment,Entertainment,EXPENSES,100,778142.6,778142.6
2026-02,ZAAC,SCI,finance_costs,Finance cost,EXPENSES,220,110409.93,110409.93
2026-02,ZAAC,SCI,general_expenses,General Expenses,EXPENSES,200,1850845.08,1850845.08
2026-02,ZAAC,SCI,insurance,Insurance,EXPENSES,160,2743356.43,2743356.43
2026-02,ZAAC,SCI,insurance_commissions,Insurance Commissions,INCOME,40,0.0,-0.0
2026-02,ZAAC,SCI,it_costs,IT Costs,EXPENSES,110,3572802.87,3572802.87
2026-02,ZAAC,SCI,management_expense,Management Expense,EXPENSES,210,0.0,0.0
